Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
5,11/25/10,1418,1351.4,1321.1,1315.1,1330,1417.7,1585,2030.9,2210.1,2276.3,2219.2,2054.3,2183.4,2275.2,2354.6,2318.8,2259.5,2224.8,2106.7,2019.4,1973.5,1855,1632.5,1484.7,0,47
6,11/26/10,1383.3,1327,1297.9,1287.7,1309.2,1358.2,1486.4,1953.4,2117.8,2202.8,2204.2,1969.2,2069.6,2239.6,2258.1,2313.4,2225,2210.6,2102.2,2028.3,1983.6,1824.8,1635.3,1454.9,0,47
7,11/27/10,1335.4,1288.6,1265.7,1261,1267.8,1317.2,1476.3,1933.1,2092.4,2159,2191,1963.1,2036.7,2213.4,2201.3,2174.5,2044.9,2065.9,1998.2,1934.9,1928.3,1815.5,1672.5,1534.8,0,47
CN,11/28/10,1364.7,1315.2,1277.2,1258.4,1250.8,1244.7,1294.5,1472.9,1576.7,1656.6,1699.4,1576.9,1585.5,1655.5,1629.3,1678.1,1689.8,1784,1743.4,1735,1695.2,1589.7,1420.8,1265.3,0,47
2,11/29/10,1156.2,1126.8,1102.1,1137.8,1161.8,1271.2,1501.4,1985.1,2185.2,2265.2,2288.2,2070.6,2171.9,2317,2313,2231.7,2227.6,2188.7,2089.5,1994.1,1852.6,1760.8,1574.3,1411.6,0,48
3,11/30/10,1326.2,1287.6,1244.5,1259.3,1273.8,1368.7,1524.1,1973.1,2117.2,2199.9,2216.1,1958.7,2063.1,2229.9,2258.2,2263.7,2157.2,2164.5,2089.9,2044.2,1980,1853,1648.9,1453.1,0,48
4,12/01/10,1358.5,1297,1270.4,1263.4,1284.4,1375.2,1563.9,2011.5,2150.6,2237.2,2230.1,2015.2,2104.6,2274.2,2311.2,2270.3,2216.9,2194.2,2160.8,2105.4,2007.1,1867.3,1647.7,1476.4,0,48
5,12/02/10,1367.8,1328,1304.2,1287.6,1306.6,1364.2,1537.1,1982.3,2160.4,2245.7,2201.6,2005.5,2098.4,2283,2284.6,2248.5,2145.3,2215.5,2129.5,2089.5,2044.1,1930.5,1706.1,1535.4,0,48
6,12/03/10,1414.55,1358.36,1327.2,1309.41,1324,1390.85,1536.85,1999.7,2158.8,2213.5,2290.4,2055.3,2160.1,2300.4,2328.9,2323,2211.1,2220.7,2150.9,2094.3,2048.8,1931.5,1740.8,1567.5,0,48
7,12/04/10,1421.9,1350.4,1327,1298.4,1296.4,1321.4,1481.9,1914,2113.6,2163.2,2189.89,1937.15,2024.33,2098.54,2106.64,2104.78,1970.7,1985.68,1946.43,1916.53,1927.19,1851.5,1707.5,1515.5,0,48
CN,12/05/10,1398.99,1317.85,1270.93,1257.52,1254,1243.14,1281.17,1481.2,1554.3,1624.6,1671.9,1526.5,1538.2,1570,1594.8,1625.1,1658.6,1702.3,1746.4,1754.8,1762.6,1651.1,1491.9,1382.3,0,48
