Thu,Ngay,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Holiday,Week number
4,08/15/12,1814.1,1724.41,1672.14,1618.61,1627.48,1700.21,1844.76,2317.09,2562.14,2646.36,2654.37,2466.05,2600.64,2800.98,2784.87,2763.29,2565.55,2440.03,2348.16,2344.25,2354.31,2288.4,2065.2,1941.3,0,33
5,08/16/12,1781.69,1679.78,1659.23,1639.79,1629.56,1664.46,1820.86,2356.29,2570.48,2668.24,2561.57,2358.28,2528.95,2707.43,2698.98,2625.11,2374.67,2247.18,2314.4,2300.82,2304.51,2231.1,2022.6,1867.8,0,33
6,08/17/12,1853.23,1672.22,1636.39,1616.53,1583.22,1655.72,1842.34,2390.52,2566.86,2648.35,2622.92,2259.03,2382.03,2456.66,2457.68,2522.54,2352.47,2218.36,2241.84,2186.3,2110.86,2038.6,1858.9,1638.3,0,33
7,08/18/12,1586.67,1517.96,1480.27,1465.25,1479.65,1523.42,1686.53,2076.09,2320,2400.33,2402.1,2237.65,2319.55,2370.94,2421.67,2355.02,2141.15,2082.14,2100.76,2097.89,2115.65,2032.4,1920.4,1752.1,0,33
CN,08/19/12,1615.2,1537.61,1468.28,1434.35,1448.69,1433.53,1502.48,1642.87,1749.27,1868.6,1905.09,1859.19,1895.5,1920.01,1913.44,1888.33,1838.54,1822.09,1969.89,2010.67,2090.55,2058.2,1892.6,1767.12,0,33
2,08/20/12,1590.95,1462.29,1452.3,1440.69,1447.11,1559.3,1773.39,2336.32,2474.89,2550.3,2568.22,2450.59,2585.8,2762.39,2773.19,2734.37,2473.71,2389.38,2455.56,2435.56,2439.05,2351.9,2162.6,1922.3,0,34
3,08/21/12,1854.79,1762.84,1718.34,1690.81,1688.01,1712.26,1858.19,2307.73,2573.44,2646.12,2669.53,2467.31,2614.44,2742,2714.74,2646.49,2393.16,2312.79,2325.17,2282.28,2275.51,2152.3,1973.6,1807.6,0,34
4,08/22/12,1671.52,1645.04,1598.84,1584.54,1600.57,1633.57,1840.73,2374.93,2574.25,2653.26,2555.12,2457.62,2597.72,2755.15,2727.47,2611.85,2433.89,2347.5,2353.04,2246.17,2227.44,2076.8,1869.1,1692.1,0,34
5,08/23/12,1587.34,1539.81,1512.8,1504.85,1509.03,1575.57,1714.7,2244.61,2413.26,2445.14,2497.63,2314.97,2405.97,2647.26,2684.56,2612.58,2396.44,2250.68,2280.34,2246.49,2237.03,2137.9,1914.3,1718.3,0,34
6,08/24/12,1624.29,1562.89,1632.92,1529.89,1538.95,1605.64,1790.61,2318.25,2491.8,2573.81,2557.2,2335.02,2468.89,2506.57,2445.45,2476.16,2387.27,2299.62,2264.67,2228.64,2185.48,2061.7,1862.8,1693.43,0,34
7,08/25/12,1582.47,1519.39,1487.1,1480.73,1492.93,1536.26,1706.84,2154.88,2360.64,2429.6,2449.98,2228.3,2313.3,2381.49,2295.55,2340.16,2114.55,2086.46,2123.37,2110.78,2124.6,2046.2,1903.5,1751,0,34
CN,08/26/12,1618.6,1543.27,1499.08,1470.14,1450.41,1413.99,1434.43,1610.86,1674.49,1760.97,1752.11,1732.22,1805.03,1806.76,1780.82,1815.03,1826.22,1831.09,1900.89,1902.56,1926.23,1875.3,1697.5,1542.3,0,34
2,08/27/12,1438.09,1379.21,1352.07,1347.06,1376.69,1483.07,1688.83,2255.74,2475.51,2545.85,2541.53,2299.38,2414.28,2569.3,2558.66,2536.97,2364.98,2248.51,2308.67,2277.28,2261.79,2105.2,1937.9,1755.48,0,35
3,08/28/12,1607.9,1546.16,1471.9,1498.81,1484.91,1596.39,1771.18,2317.83,2495.03,2542.08,2559.18,2264.29,2332.3,2466.11,2502.51,2528.88,2292.98,2227.69,2274.47,2227.3,2169.24,2034.4,1833,1580,0,35
4,08/29/12,1547.32,1479.39,1455.87,1445.4,1459.95,1565.68,1737.31,2248.3,2367.65,2499.29,2459.34,2275.31,2373.7,2666.9,2620.14,2540.12,2272.45,2272.44,2318.52,2276.46,2244.95,2118.5,1920.5,1717.3,0,35
5,08/30/12,1642.18,1569.96,1533.46,1515.09,1533.34,1586.28,1759.28,2263.59,2408.89,2510.64,2486.75,2305.42,2424.63,2631.88,2704.12,2615.94,2429.56,2325.84,2398.2,2368.86,2355.55,2255.6,2069,1901.8,0,35
6,08/31/12,1729.65,1668.67,1617.46,1686.46,1597.66,1617.23,1768.21,2228.03,2397.79,2436.6,2481.25,2306.12,2445.14,2534.44,2641,2576.09,2360.99,2262.13,2292.67,2204.74,2151.92,2046.5,1858.2,1707.1,0,35
7,09/01/12,1527.24,1486.11,1444.67,1427.49,1426.39,1424.08,1518.42,1901.71,2044.85,2126.08,2157,2000.1,2003.84,2029.66,2011.31,1957.75,1844.26,1839.6,1870.81,1861.71,1888.47,1768.2,1582.4,1443.92,0,35
CN,09/02/12,1301.66,1260.62,1226.92,1204.15,1174.69,1128.27,1152.37,1141.25,1175.07,1295.44,1382.04,1296.38,1262.87,1263.17,1258.85,1296.34,1379.01,1458.55,1540.86,1532.19,1517.85,1446.6,1317.8,1176.57,1,35
2,09/03/12,1104.44,1052.28,1021.88,1020.98,1030.39,1111.01,1202.93,1527.67,1624.11,1721.41,1667.8,1705.46,1689.6,1793.54,1766.13,1835.58,1850.56,1797.55,1944.69,1886.38,1921.36,1784.4,1621.1,1516.21,0,36
3,09/04/12,1470.59,1365.89,1337.55,1328.99,1359.48,1463.65,1677.5,2182.23,2380.78,2499.42,2382.02,2154.29,2189.25,2447.6,2483.46,2478.69,2296.8,2188.94,2237.77,2135.23,2029.66,1950.9,1733,1569.76,0,36
4,09/05/12,1514.49,1477.17,1444.73,1439.28,1461.79,1541.19,1720.68,2235.17,2415.98,2520.77,2516.63,2299.36,2350.82,2495.93,2499.31,2459,2278.56,2213.52,2238.32,2185.53,2154.88,1991.9,1806.6,1634.4,0,36
5,09/06/12,1559.47,1485.67,1465.63,1461.35,1476.51,1555.87,1738.3,2239.4,2315.52,2469.01,2394.68,2215.84,2311.05,2499.66,2520.24,2496.95,2366.94,2306.2,2266.13,2195.21,2183.92,2038.6,1729.1,1637,0,36
6,09/07/12,1574.86,1514.4,1482.26,1467.72,1491.23,1572.23,1746.19,2243.51,2423.82,2528.15,2528.55,2314.62,2415.96,2567.12,2586.2,2531.52,2298.21,2319.61,2313.75,2231.51,2164.68,2105.2,1899.8,1736.68,0,36
7,09/08/12,1610.08,1538.03,1513.22,1490.29,1504.7,1568.64,1750.83,2232.39,2390.8,2499.18,2516.02,2314.11,2401.26,2530.49,2463.04,2443.38,2214.41,2203.12,2242.18,2241.49,2292.05,2262.9,2113.2,1877.61,0,36
CN,09/09/12,1628.76,1498.38,1481.02,1461.14,1434.68,1421.21,1442.91,1602.41,1714.46,1843.14,1899.11,1826.21,1883.49,1890.99,1812.94,1828.19,1804.95,1861.54,1934.85,1963.58,1990.86,1887.3,1695.8,1550.47,0,36
2,09/10/12,1430.28,1369.53,1302.15,1295.39,1314.3,1410.4,1610.57,2155.11,2378.25,2455.59,2460.44,2234.78,2335.24,2564.34,2585.04,2570.98,2390.64,2332.85,2342,2307.15,2271.09,2119.7,1938.2,1717.62,0,37
3,09/11/12,1641.19,1573.56,1528.3,1509.95,1516,1588.94,1754.64,2266.44,2428.86,2526.79,2542.37,2269.43,2335.8,2431.36,2424.56,2405.6,2319.64,2240.76,2247.42,2143.07,2100.31,1975.2,1773.7,1609.14,0,37
4,09/12/12,1515.34,1479.94,1450.5,1450.33,1482.51,1594.1,1718.8,2188.65,2445,2521.22,2503.1,2281.46,2343.71,2488.41,2458.32,2441.71,2377.38,2296.52,2213.36,2206.04,2117.02,1946.3,1743.6,1602.37,0,37
5,09/13/12,1485.47,1543.41,1518.37,1425.47,1453.14,1554.57,1695.61,2154.37,2290.36,2377.17,2383.68,2146.84,2225.51,2388.53,2450.46,2457.85,2308.92,2273.76,2219.8,2168.15,2086.68,1969,1715.5,1497.25,0,37
6,09/14/12,1542.81,1503.24,1478.3,1467.43,1486.32,1551.82,1688.38,2257.74,2435.48,2528.99,2530.9,2314.8,2414.04,2560.74,2591.42,2555.56,2422.09,2360.56,2323.32,2263.26,2203.28,2064,1885,1708.5,0,37
7,09/15/12,1586.05,1525.69,1490.67,1476.26,1486.9,1538.77,1699.16,2175.08,2347.54,2409.73,2401.52,2165.6,2276.23,2358.69,2266.01,2290.35,2175.85,2131.39,2070.92,2052.79,2044.05,1908.7,1706.5,1522.44,0,37
CN,09/16/12,1428.16,1369.84,1340.54,1326.55,1327.67,1330.37,1416.59,1556.9,1682.65,1750.63,1773.88,1712.65,1701.29,1749.28,1712.91,1759.27,1754.89,1815.81,1819.73,1791.41,1786.3,1629.5,1444.3,1308.7,0,37
2,09/17/12,1244.88,1211.68,1189.68,1187.38,1225.78,1388.69,1609.22,2143.26,2310.26,2396.37,2381.41,2125.14,2290.27,2464.65,2516.29,2518.89,2370.96,2278.65,2258.67,2231.08,2205.05,2074.4,1846.3,1674.72,0,38
3,09/18/12,1535.11,1483.21,1445.36,1440.52,1461.19,1568.77,1731.06,2258.51,2437.11,2517.94,2498.32,2294.35,2431.25,2524.66,2584.23,2592.38,2416.87,2334.5,2319.02,2254.11,2153.77,2048.1,1884.6,1664.9,0,38
4,09/19/12,1598.79,1541.62,1514.24,1496.67,1560.77,1613,1781.26,2240.15,2468.99,2560.09,2573.18,2350.08,2409.8,2692.48,2682.8,2629.28,2423.73,2329.32,2344.89,2225.06,2196.16,2075.3,1911.8,1672.14,0,38
5,09/20/12,1591.48,1527.58,1499.13,1484,1507.89,1574.97,1737.74,2226.34,2404.72,2481.62,2470.04,2278.13,2397.58,2456.27,2500.9,2419.82,2280.57,2204.18,2163.91,2192.18,2152,2012.6,1815.4,1685.96,0,38
6,09/21/12,1602.78,1504.18,1476.12,1470.17,1480.35,1525.8,1735.67,2248.2,2441.02,2504.65,2506.04,2230.71,2377.74,2443.72,2443.69,2529.81,2445.81,2311.79,2280.66,2208.64,2159.33,1882.2,1763.3,1639.35,0,38
7,09/22/12,1596.13,1506.35,1474.56,1420.18,1409.58,1476.21,1646.04,2210.18,2367.35,2429.1,2469.18,2220.02,2255.57,2375.25,2368.67,2346.79,2225,2131.74,2141.96,2103.94,2112.96,2044.2,1887.8,1715.95,0,38
CN,09/23/12,1600.46,1528.37,1464.95,1444.4,1442.39,1393.91,1456.34,1597.01,1665.76,1772.13,1820.84,1703.96,1710.02,1780.21,1769.5,1786.73,1831.7,1910.28,1926.53,1931.99,1925.16,1819.3,1652.5,1515.7,0,38
2,09/24/12,1411.91,1373.31,1346.41,1343.55,1368.54,1482.17,1695.38,2311.09,2508.31,2520.21,2529.66,2356.68,2432.39,2533.81,2545.3,2514.24,2413.23,2330.95,2204.17,2138.87,2097.07,1938.6,1785.6,1636.4,0,39
3,09/25/12,1531.97,1440.52,1415.78,1421.62,1453.89,1518.16,1749.8,2228.95,2411.73,2494.51,2491.44,2260.85,2377.88,2475.15,2498.85,2504.84,2374.86,2334.76,2285.81,2230.07,2160.21,1997.6,1802.7,1628.23,0,39
4,09/26/12,1487.15,1472.97,1442.48,1425.22,1453.15,1546.91,1747.17,2287.73,2475.75,2554.39,2506.79,2250.7,2320.17,2299.95,2322.59,2334.52,2283.93,2250.33,2169.47,2136.66,2086.9,1926.7,1747.4,1563.78,0,39
5,09/27/12,1490.57,1431.54,1409.91,1415.83,1443.52,1547.6,1707.61,2238.97,2372.2,2450.4,2427.66,2197.21,2232.54,2377.58,2424.27,2470.82,2344.08,2304.96,2235.69,2142.07,2075.69,1895.4,1721.1,1537.3,0,39
6,09/28/12,1459.94,1424.86,1404.05,1409.59,1428.06,1512.69,1709.27,2120.43,2310.36,2369.08,2320.15,2039.55,2128.09,2265.63,2326.29,2175.48,2186.06,2229.13,2166.03,2080.04,2008.78,1859.4,1682.2,1487.59,0,39
7,09/29/12,1505.9,1433.74,1359.61,1406.51,1423.03,1527.38,1841.3,2039.3,2149.27,2196.32,2067.68,2011.37,2264.64,2263.26,2272.65,2273.68,2072.55,2123.07,2109.5,2052.46,2025.28,1947,1779.2,1750.8,0,39
CN,09/30/12,1458.96,1393.61,1347.6,1319.28,1315,1329.88,1376.98,1536.36,1625.52,1701.91,1750.42,1657.4,1598.07,1572.25,1577.66,1631.42,1682.57,1795.03,1791.82,1778.64,1768.94,1657,1605.6,1357,0,39
2,10/01/12,1262.12,1225.52,1231.73,1209.01,1243.16,1356.9,1549.65,2126.72,2274.41,2376.04,2289.12,2037.87,2164.4,2413.03,2381.32,2378.83,2334.9,2203.23,2218.75,2133.63,2040.14,1866.9,1645.9,1466.9,0,40
3,10/02/12,1413.04,1348.34,1349.55,1352.89,1397.47,1499.43,1655.58,2120.76,2337.4,2445.18,2458.31,2218.18,2314.53,2485.91,2528.99,2502.42,2364.55,2337.59,2291.8,2238.93,2215.01,2069.1,1890.1,1632.3,0,40
4,10/03/12,1417.04,1378.83,1341.6,1335.45,1345.04,1457.64,1570.41,2081.91,2211.56,2286.23,2308.67,2103.04,2220.31,2383.6,2422,2409.81,2325.15,2265.46,2223.21,2143.45,2084.28,1930.7,1742.1,1586.54,0,40
5,10/04/12,1500.96,1438.22,1414.51,1412.06,1409.44,1520.92,1717.03,1474.07,2311.6,2408.86,2396.43,2130.25,2189.94,2305.27,2387.26,2348.43,2281.89,2281.23,2232.74,2173.05,2112.46,1985,1807.4,1629.84,0,40
6,10/05/12,1521.35,1461.49,1428.57,1419.58,1417.05,1488.32,1708.69,2184.14,2331.95,2452.56,2457.36,2224.36,2208.11,2322.2,2355.27,2383.09,2265.22,2261.77,2185.96,2106.82,2036.45,1869.6,1689.7,1521.68,0,40
7,10/06/12,1441.21,1394.08,1369.22,1362.1,1400.7,1456.6,1649.44,2057,2263.61,2341.46,2360.75,2115.71,2178.36,2199.03,2161.69,2168.4,2071.06,2110.81,2072.42,1995.5,1985.13,1774.8,1674.8,1516.12,0,40
CN,10/07/12,1360.47,1296.08,1292.09,1283.95,1262.41,1294.49,1371.46,1533.61,1595.8,1707.75,1746.36,1649.98,1604.65,1678.41,1668.8,1731.43,1807.93,1819.49,1817.99,1780.32,1756.52,1615,1479.7,1296.22,0,40
2,10/08/12,1246.55,1203.58,1174.45,1176.2,1211.59,1351.38,1588.41,2144.53,2323.06,2405.76,2429.56,2189.29,2335.65,2508.6,2503.13,2479.72,2315.4,2297.02,2237.86,2183,2128.18,1987.4,1850.6,1645.3,0,41
3,10/09/12,1542.16,1493.09,1466.24,1460.34,1471.2,1554.06,1728.85,2138.3,2416.55,2442.66,2396.21,2219.15,2392.28,2435.29,2455.42,2532.63,2394.47,2357.62,2299.1,2247.39,2156.79,2021.7,1857.5,1709.9,0,41
4,10/10/12,1566.2,1491.09,1446.53,1438.54,1458.79,1558.4,1736.44,2236.59,2431.29,2513.4,2519.59,2326.11,2448.12,2586.89,2607.53,2584.09,2393.56,2363.92,2287.92,2158.94,2102.04,1967.9,1801,1709.44,0,41
5,10/11/12,1540.69,1500.81,1468.16,1462.26,1482.01,1560.41,1747.2,2271.72,2460.55,2516.88,2533.47,2265.87,2398.64,2551.79,2485.49,2576.73,2441.27,2375.2,2322.73,2263.44,2207.63,2098.9,1884.9,1709.09,0,41
6,10/12/12,1603.02,1547.58,1495.85,1492.16,1505.37,1570.84,1761.62,2266.71,2452.91,2552.6,2546.46,2286.95,2368.35,2582.8,2586.3,2460.51,2376.02,2361.12,2342.08,2287.36,2238.16,2096,1846.3,1690.79,0,41
7,10/13/12,1544.77,1480.23,1449.55,1441.04,1452.38,1505.38,1689.31,2135.47,2301.83,2392.67,2423.73,2204.71,2190,2151.08,2134.34,2189.89,2075.16,2116.38,2061.39,2028.97,2089.11,1989.6,1835.2,1657.22,0,41
CN,10/14/12,1475.91,1416.69,1367.71,1343.16,1325.66,1331.65,1390.25,1441.02,1557.74,1666.66,1747.04,1651.24,1629.38,1700.52,1676.84,1722.27,1769.14,1844.58,1822,1800.71,1812.38,1710.4,1546.3,1393.77,0,41
2,10/15/12,1325.01,1271.85,1359.43,1261.08,1304.78,1394.3,1636.15,2204.81,2398.56,2489.63,2564.01,2304.61,2423.39,2550.42,2582.34,2568.97,2326.88,2382.08,2327.93,2273.15,2190.89,2124.8,1909.2,1725.3,0,42
3,10/16/12,1548.12,1558.33,1515.07,1508.31,1521.4,1601.52,1765.35,2305.8,2488.36,2577.98,2571.04,2337.74,2477.13,2600.58,2571.9,2530.3,2403.83,2359.57,2300.87,2267.64,2219.13,2076.5,1881.2,1714.1,0,42
4,10/17/12,1588.65,1532.31,1502.35,1484.11,1509.89,1600.21,1778.08,2198.69,2378.41,2466.02,2464.44,2260.49,2370.14,2573.88,2622.65,2580.1,2403.06,2401.48,2309.09,2299.92,2226.19,2134.1,1938.3,1743.3,0,42
5,10/18/12,1618.67,1565.83,1523.35,1512.63,1528.53,1620.93,1714.34,2184.37,2366.37,2391.64,2430.48,2235.44,2460.74,2621,2652.88,2608.81,2456.05,2445.7,2367.42,2271,2227.34,2202.5,1993.2,1816.81,0,42
6,10/19/12,1671.59,1618.92,1584.26,1576.1,1589.51,1643.28,1810.76,2320.04,2509.05,2592.69,2569.84,2359.73,2503.91,2693.41,2703.68,2639.07,2468.77,2467.38,2391.41,2349.03,2291.93,2197.3,2014.1,1806.3,0,42
7,10/20/12,1670.6,1607.38,1566.71,1548.44,1549.68,1595.96,1783.64,2239.61,2402.65,2510.8,2526.28,2289.8,2413,2480.58,2481.09,2432.68,2182.39,2196.23,2181.39,2076.81,2140.56,2063.7,1915.8,1767.35,0,42
CN,10/21/12,1630.62,1564.45,1515.35,1494.33,1470.55,1443.65,1480.35,1618.42,1724.27,1839.34,1893.94,1830.25,1854.71,1860.28,1901.42,1888.52,1891.81,1976.51,1953.92,1967.22,1973.06,1879.4,1701.3,1581.26,0,42
2,10/22/12,1463.6,1414.37,1385.03,1386.33,1403.65,1501,1694.53,2228.31,2430.3,2553.41,2576.25,2340.6,2431.81,2605.99,2638.06,2554.64,2479.77,2463.1,2311.3,2188.07,2150.59,2024.5,1934.8,1761.7,0,43
3,10/23/12,1627.51,1603.07,1578.27,1569.01,1571.9,1633.09,1819.08,2319.45,2514.64,2602.85,2594.44,2388.19,2504.3,2661.91,2684.14,2633.4,2456.21,2454.45,2360,2281.91,2211.43,2150.4,1981.9,1842.45,0,43
4,10/24/12,1710.47,1600.13,1560.09,1579.97,1586.24,1588.86,1835.18,2370.38,2568.88,2641.52,2622.54,2329.75,2536.88,2702.12,2703.85,2651.39,2495.15,2354.85,2365.36,2354.07,2345.12,2233,1999.1,1745.5,0,43
5,10/25/12,1672.12,1625.77,1579.27,1569.82,1572,1652.99,1815.78,2345.64,2525.3,2600.38,2594.4,2376.4,2496.85,2689.68,2723.4,2661.22,2462.24,2455.61,2421.81,2386.57,2344.33,2256.5,2078.6,1894.24,0,43
6,10/26/12,1742.47,1674.18,1630.1,1601.81,1614.94,1664.54,1795.43,2321.89,2473.7,2567.86,2580.34,2366.86,2393.25,2692.49,2693.55,2583.03,2478.59,2481.4,2410.44,2375.15,2348.29,2157.4,2092.2,1903,0,43
7,10/27/12,1747.56,1679.22,1621.35,1596.17,1586.39,1617.08,1779.92,2246.2,2420.38,2505.29,2514.18,2245.44,2385.73,2433.51,2492.45,2449.98,2262.17,2208.48,2238.84,2187.68,2247.95,2156.5,1983.1,1803.33,0,43
CN,10/28/12,1717.54,1636.29,1583.65,1553.77,1533.92,1466.57,1534.33,1656.8,1656.89,1851.2,1875.54,1862.04,1896.78,1958.68,1947.27,1901.63,1880,2004.56,2001.91,1997.28,2040.98,1988,1761.8,1624.1,0,43
2,10/29/12,1552.88,1484.95,1406.01,1435.69,1453.81,1547.52,1757.75,2359.97,2542.4,2650.43,2654.8,2447.07,2586.23,2734.67,2735.35,2707,2514.43,2509.78,2456.97,2392.11,2358.53,2248.6,2038,1866,0,44
3,10/30/12,1857.98,1683.94,1648.28,1621.81,1629.32,1676.19,1815.71,2391.2,2569.85,2621.64,2608.85,2405.62,2523.2,2650.61,2656.78,2626.9,2494.34,2448.56,2393.37,2365.03,2295.78,2185.4,2011.5,1859.81,0,44
4,10/31/12,1701.05,1641.69,1597.33,1574.54,1578.53,1648.92,1804.6,2403.3,2552.59,2642.24,2642.09,2401.78,2540.72,2698.83,2700.85,2640.55,2429.73,2442.33,2352,2252.08,2205.3,2151.8,1868.2,1684.1,0,44
5,11/01/12,1687.79,1606.41,1568.53,1546.59,1561.41,1611.85,1833.41,2330.92,2509.37,2590.26,2599.34,2386.89,2495.3,2657.52,2682.24,2645.15,2468.06,2440.37,2375.35,2325.08,2310.97,2177,1996.1,1827.7,0,44
6,11/02/12,1707.7,1643.24,1596.66,1573.82,1592.23,1645.11,1832.95,2266.96,2450.39,2568.57,2564.86,2343.48,2516.37,2620.72,2714.25,2663.51,2481.08,2473.38,2386,2328.09,2269.04,2180.8,1994.2,1805.5,0,44
7,11/03/12,1689.87,1617.42,1584.52,1568.13,1580.32,1596.43,1750.52,2286.65,2453.02,2552.44,2544.09,2298.45,2415.9,2503.7,2511.32,2457.65,2244.78,2241.89,2204.02,2187.04,2183.6,2116.8,1971.3,1795.2,0,44
CN,11/04/12,1638.48,1573.21,1529.32,1486.99,1469.35,1437.8,1473.68,1616.97,1733.27,1844.79,1884.42,1832.95,1857.97,1895.03,1920.05,1888.43,1892.31,1977.5,1945.93,1974.33,1983.64,1873.6,1706.1,1556,0,44
2,11/05/12,1435.29,1386.1,1355.72,1340,1384.4,1460.22,1683.95,2277.58,2488.08,2580.43,2552.4,2389.78,2466.19,2645.89,2654.07,2622.25,2471.32,2436.38,2347.56,2279.93,2220.32,2082.7,1893.8,1708.6,0,45
3,11/06/12,1619.23,1595.86,1537.56,1527.94,1548.93,1642.45,1794.93,2304.21,2551.67,2536.25,2577.3,2289.3,2417.33,2636.19,2670.14,2658.25,2494.22,2507.34,2410.61,2350.2,2320,2201.2,1988.2,1817.75,0,45
4,11/07/12,1679.06,1608.64,1568.78,1557.32,1553.92,1623.5,1789.43,2361.16,2539.84,2641.61,2648.74,2419.24,2545.25,2620.62,2653.67,2604.57,2421.71,2403.67,2329.91,2369.14,2263.17,2152.3,2004.2,1832.86,0,45
5,11/08/12,1707.03,1667.65,1625.38,1609.15,1617.64,1679.27,1829.16,2380.12,2567.75,2659.36,2675.21,2443.51,2592.15,2745.18,2757.72,2738.21,2549.42,2531.85,2425.01,2380.63,2373.25,2256.5,2048.8,1848.9,0,45
6,11/09/12,1740.09,1671.47,1622.54,1614.05,1615.67,1671.38,1828.56,2316.68,2579.85,2672.67,2664.61,2449.67,2593.7,2732.15,2753.02,2736.93,2582.75,2514.13,2390.37,2365.91,2279.19,2231.1,2063.9,1887.48,0,45
7,11/10/12,1721.32,1666.4,1614.52,1591.83,1602.77,1627.52,1717.46,2237.75,2399.27,2488.61,2566.6,2349.41,2460.5,2489.89,2482.04,2432.91,2283.35,2284.44,2196.4,2193.19,2211.45,2164.6,2024.7,1849,0,45
CN,11/11/12,1664.24,1639.43,1588.76,1555.36,1525.1,1485.26,1508.59,1637.11,1761.67,1870.59,1916.68,1848.33,1865.8,1881.19,1877.88,1816.63,1814.17,1912.41,1894.43,1919.72,1947.53,1857.3,1683.8,1551.9,0,45
2,11/12/12,1468.91,1409.44,1371.07,1353.78,1370.3,1483.81,1706.51,2334.42,2553.86,2639.63,2660.93,2455.72,2541.27,2728.92,2749.94,2687.62,2503.9,2553.37,2476.84,2460.56,2452.15,2311.2,2125.5,1942.08,0,46
3,11/13/12,1794.84,1727.21,1669.53,1617.9,1646.67,1698.88,1860.2,2382.09,2533.32,2618.92,2645.04,2423.31,2547.37,2709.27,2709.32,2682.93,2532.48,2499.8,2456.7,2425.62,2346.14,2296.3,2108.3,1908.19,0,46
4,11/14/12,1758.8,1693.62,1648.2,1622.08,1613.49,1656.54,1810.04,2177.8,2404.58,2481.1,2450.33,2212.92,2378.58,2476.37,2535.62,2545.29,2404.19,2397.01,2251.12,2198,2136.28,1928.9,1761.8,1600.44,0,46
5,11/15/12,1501.28,1461.06,1408.93,1395.01,1428.85,1508.84,1726.89,2175.75,2337.78,2417.13,2450.69,2247.48,2328.71,2498.82,2558.84,2533.35,2373.24,2381.82,2291.69,2281.91,2215.75,2102.4,1827.8,1725.17,0,46
6,11/16/12,1504.5,1462.55,1432.05,1419.09,1448.22,1546.85,1724.89,2161.93,2323.96,2420.15,2436.92,2203.3,2308.14,2496.37,2501.16,2489.04,2322.97,2375.72,2305.12,2250.49,2197.89,1996.7,1875.9,1704.76,0,46
7,11/17/12,1586.79,1522.45,1496.71,1489.55,1489.94,1536.09,1735.71,2223,2384.61,2449.11,2475.02,2271.35,2443.64,2503,2481.69,2420.58,2272.13,2226.88,2284.15,2250.81,2188.26,2122.2,1929.1,1718.8,0,46
CN,11/18/12,1637.08,1561.4,1504.33,1461.3,1455.5,1446.45,1488.65,1675.98,1767.85,1842.13,1898.99,1792.1,1828.07,1833.91,1881.24,1868.86,1845.25,2014.44,1963.21,1943.03,1966.11,1895.9,1726.6,1550.6,0,46
2,11/19/12,1439.75,1385.61,1369.18,1365.33,1396.44,1521.28,1703.75,2329,2510.47,2627.74,2596.01,2391.41,2493.76,2669.82,2715.57,2662.32,2475.7,2509.77,2423.47,2334.07,2361.54,2122.4,2046.3,1869.6,0,47
3,11/20/12,1715.95,1649.96,1534.48,1598.32,1606.46,1675.93,1841.08,2364.65,2553.83,2667.69,2660.38,2464.96,2530.67,2662.71,2714.78,2694.42,2521.04,2484.18,2387.69,2336.7,2298.32,2152,1976.4,1798.92,1,47
4,11/21/12,1689.58,1627.97,1581.75,1571.08,1570.9,1632.93,1807.33,2308.73,2572.75,2645.38,2675.2,2421.85,2519.98,2691.09,2674.49,2607.02,2476.34,2462.98,2405.19,2361.2,2330.82,2199.3,1945.3,1776.71,0,47
5,11/22/12,1707.27,1629.44,1616.14,1589.5,1598.98,1643.88,1746.17,2253.17,2554.83,2646.16,2622.29,2429.57,2536.9,2624.34,2689.16,2652.89,2559.84,2535.21,2349.35,2292.87,2222.81,2095.9,1900.4,1749.88,0,47
6,11/23/12,1599.65,1604.22,1577.23,1563.61,1579.18,1661.15,1804.35,2347.1,2521.88,2580.59,2623.27,2405.34,2543.6,2636.28,2632.61,2627.35,2449.98,2462.13,2334.24,2264.68,2244.11,2124.4,1959.3,1795.77,0,47
7,11/24/12,1645.66,1583.91,1539.22,1527.37,1552.88,1585.88,1775.64,2228.7,2435.01,2523.72,2543.14,2300.43,2332.38,2466.63,2487.67,2426.56,2228.09,2283.23,2213.13,2182.89,2182.04,2104.6,1957,1786.65,0,47
CN,11/25/12,1576.72,1550.64,1497.34,1480.31,1445.76,1422.42,1595.05,1648.64,1728.55,1828.51,1887.31,1806.49,1865.4,1909.33,1917.23,1877.09,1845.3,1958.41,1968.32,1955.98,1961.7,1910.3,1726,1542.8,0,47
2,11/26/12,1446.62,1387.46,1353.13,1337.73,1372.47,1474.25,1692.95,2198.04,2399.37,2497.91,2525.22,2375.4,2562.11,2731.15,2737.57,2695.07,2522.96,2514.15,2455.65,2429.52,2423.64,2291.1,2093,1874.9,0,48
3,11/27/12,1756.44,1662.89,1596.5,1577.91,1580.97,1642.81,1832.66,2219.39,2437.33,2573.65,2576.3,2384.28,2489.58,2637.81,2683.49,2642.04,2504.69,2523.71,2431.78,2393.62,2355.05,2214.9,2002.1,1819.3,0,48
4,11/28/12,1677.18,1606.55,1562.22,1549.07,1569.48,1627.38,1796.49,2351.88,2524.81,2597.61,2592.1,2377.86,2490.82,2707.3,2712.46,2687.22,2507.9,2507.61,2412.99,2351.01,2337.51,2191.5,1999.3,1835.9,0,48
